,Operator,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Latitude,Longitude,SPACING_CAPPED,12 month Cum Prod,Year Fracd,Month Fracd,Day Fracd,Formation,Compl. Type
66,Operator 1,8764.0,12,150,96,33,1011525.0,23222.0,20081003.0,47.7612635124022,-102.976969432772,657.617805,41.52,2008,10,3,TFH,P & P
67,Operator 1,9190.0,10,161,95,34,1184882.0,22905.0,20081014.0,48.7214319070704,-102.989982679927,594.575085,40.64,2008,10,14,TFH,P & P
68,Operator 1,9150.0,20,159,95,29,1244069.0,19628.0,20081018.0,48.5615503723897,-102.977755075577,607.92805,88.57,2008,10,18,MBH,P & P
69,Operator 1,9135.0,24,159,95,10,1179451.0,20562.0,20081019.0,48.604883057662,-102.934267662436,660.0,67.27,2008,10,19,MBH,P & P
70,Operator 1,9183.0,16,161,95,15,1326040.0,21731.0,20081101.0,48.7779466244204,-103.000348770567,660.0,44.45,2008,11,1,MBH,P & P
71,Operator 1,9296.0,14,146,95,20,1062692.0,26651.0,20081102.0,47.4450436422179,-102.805737018854,588.662675,71.65,2008,11,2,TFH,P & P
72,Operator 1,9162.0,14,146,95,31,939277.0,25890.0,20081120.0,47.4162303433002,-102.837967851096,660.0,54.09,2008,11,20,TFH,P & P
73,Operator 1,9281.0,14,151,96,13,1200790.0,25032.0,20081124.0,47.9044773362574,-102.914019311178,654.87531,58.97,2008,11,24,TFH,P & P
74,Operator 1,8997.0,24,159,96,11,1315300.0,22923.0,20081126.0,48.6051791186257,-103.053836689086,628.34491,70.95,2008,11,26,TFH,P & P
75,Operator 1,10357.0,5,161,95,18,1265510.0,24932.0,20081128.0,48.7778607621769,-103.066260482552,597.205645,73.81,2008,11,28,TFH,P & P
76,Operator 1,9048.0,10,161,95,33,1027380.0,20026.0,20081206.0,48.721027044763,-103.011106756219,660.0,43.55,2008,12,6,TFH,P & P
77,Operator 1,3881.0,12,146,98,25,697602.0,22131.0,20081211.0,47.4305331225811,-103.112180844362,660.0,17.21,2008,12,11,MBH,P & P
78,Operator 1,8709.0,20,141,99,24,188000.0,11319.0,20090101.0,47.0099317401523,-103.175455653336,660.0,33.7,2009,1,1,TFH,CT
79,Operator 1,9160.0,20,161,95,10,88000.0,21106.0,20090101.0,48.7787691022189,-103.000297948052,660.0,28.14,2009,1,1,MBH,CT
80,Operator 1,3716.0,14,162,95,17,435000.0,11971.0,20090101.0,48.8646081686368,-103.036973876504,660.0,8.38,2009,1,1,TFH,CT
81,Operator 1,9174.0,24,160,96,1,651000.0,22525.0,20090101.0,48.7197653345129,-103.032228865392,300.389215,72.58,2009,1,1,TFH,CT
82,Operator 1,9315.0,10,145,95,9,1339000.0,16067.0,20090101.0,47.3872974129927,-102.795245829721,651.95561,92.48,2009,1,1,MBH,CT
83,Operator 1,9080.0,14,151,96,8,1175000.0,23021.0,20090101.0,47.9065335829537,-102.989178773277,642.891235,52.08,2009,1,1,TFH,CT
84,Operator 1,9312.0,12,150,97,25,2032000.0,24880.0,20090101.0,47.7890647796934,-103.041826049982,326.493495,60.75,2009,1,1,TFH,CT
85,Operator 1,9157.0,21,155,95,3,707000.0,8985.0,20090101.0,48.2703281847227,-102.885873424785,660.0,11.99,2009,1,1,TFH,CT
86,Operator 1,8863.0,1,145,96,17,1218700.0,13299.0,20090112.0,47.3727708763888,-102.944588827979,624.692725,10.96,2009,1,12,TFH,P & P
87,Operator 1,9525.0,14,146,96,28,1044278.0,17315.0,20090124.0,47.4301388095478,-102.91114523864,603.8449,36.04,2009,1,24,TFH,P & P
88,Operator 1,9217.0,27,160,96,36,1510591.0,24235.0,20090126.0,48.6341845830385,-103.021041529657,660.0,45.79,2009,1,26,TFH,P & P
89,Operator 1,9178.0,14,150,96,31,959800.0,14865.7142857143,20090126.0,47.7613248849007,-103.010672478858,660.0,55.75,2009,1,26,TFH,P & P
90,Operator 1,9323.0,25,160,95,35,1558000.0,21309.0,20090129.0,48.6337531775638,-102.923537329082,660.0,65.8,2009,1,29,TFH,P & P
91,Operator 1,8998.0,12,159,95,24,1407420.0,22952.0,20090204.0,48.5761403536757,-102.890656594423,660.0,103.17,2009,2,4,TFH,P & P
92,Operator 1,9137.0,24,161,95,11,1386210.0,21600.0,20090208.0,48.7787910363195,-102.966677972268,660.0,30.62,2009,2,8,TFH,P & P
93,Operator 1,9144.0,14,149,96,15,974540.0,23700.0,20090214.0,47.7312021332535,-102.957021596665,572.29977,51.54,2009,2,14,TFH,P & P
94,Operator 1,10241.0,14,146,96,6,1011900.0,24831.0,20090227.0,47.4882265932474,-102.966858082854,656.1138,44.52,2009,2,27,TFH,P & P
95,Operator 1,5423.0,6,152,94,2,157920.0,6750.71428571429,20090310.0,48.0226932638296,-102.681553162039,160.23295,52.8,2009,3,10,TFH,P & P
96,Operator 1,9175.0,10,159,95,2,1459845.0,12060.7142857143,20090314.0,48.6327250209542,-102.923209606326,660.0,106.88,2009,3,14,TFH,P & P
