,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Best12 Mo BOPD,Latitude,Longitude,12 month Cum Prod,Year Fracd,Month Fracd,Day Fracd,Operator_Operator 1,Operator_Operator 10,Operator_Operator 11,Operator_Operator 12,Operator_Operator 15,Operator_Operator 16,Operator_Operator 17,Operator_Operator 18,Operator_Operator 19,Operator_Operator 2,Operator_Operator 20,Operator_Operator 21,Operator_Operator 22,Operator_Operator 23,Operator_Operator 24,Operator_Operator 25,Operator_Operator 26,Operator_Operator 27,Operator_Operator 28,Operator_Operator 29,Operator_Operator 30,Operator_Operator 32,Operator_Operator 33,Operator_Operator 34,Operator_Operator 35,Operator_Operator 36,Operator_Operator 37,Operator_Operator 38,Operator_Operator 39,Operator_Operator 4,Operator_Operator 41,Operator_Operator 43,Operator_Operator 44,Operator_Operator 45,Operator_Operator 46,Operator_Operator 48,Operator_Operator 49,Operator_Operator 5,Operator_Operator 50,Operator_Operator 51,Operator_Operator 6,Operator_Operator 7,Operator_Operator 8,Operator_Operator 9,Formation_MBH,Formation_MBH/TFH,Formation_MTFH,Formation_TF1,Formation_TF2,Formation_TF2.5,Formation_TF3,Formation_TF4,Formation_TFH,Formation_TFSH,Formation_UTFH,Compl. Type_CT,Compl. Type_CT and P & P,Compl. Type_Cemented Liner,Compl. Type_Coil Tubing Frac,Compl. Type_Frac Ports,Compl. Type_Frac Ports and P & P,Compl. Type_Frac Ports and Repeater Ports,Compl. Type_OH,Compl. Type_P & P,Compl. Type_Perforated Liner,Compl. Type_Repeater Ports and P & P,Compl. Type_Screen,Compl. Type_Sleeves,Compl. Type_Sleeves and P & P
34,4910.0,5,158,96,17,1286000.0,74081.0,21.7126890203813,48.5046546045014,-103.122107478544,8.63,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,10171.0,1,159,95,8,881000.0,12052.0,121.671597633136,48.6050184083689,-102.99255022162,44.76,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4900.0,4,158,96,17,1140000.0,67789.0,46.2825991672145,48.5041064030009,-103.122114777084,17.4,2007,4,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,6467.0,1,147,96,8,1240320.0,14459.0,72.7810650887574,47.560711068548,-102.92951838536,26.21,2007,6,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,8412.0,1,145,96,4,626348.0,7769.0,137.447950909489,47.4020095384475,-102.913061676017,49.49,2007,9,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,8709.0,1,160,94,30,1023000.0,14018.0,45.838812184966,48.6484030158724,-102.869139486912,17.12,2008,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,9089.0,18,160,95,7,1268000.0,20287.0,133.100482138944,48.6920039731651,-103.008785484541,49.58,2008,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,8635.0,10,146,95,18,542000.0,13568.0,227.421652421652,47.4729492583073,-102.837858034967,74.09,2008,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,9182.0,1,147,96,5,1075000.0,10748.0,81.6732412886259,47.5752065619568,-102.938695764676,26.82,2008,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,8837.0,10,145,96,1,740000.0,24163.4,169.115713346483,47.4018547846938,-102.848231893852,60.79,2008,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
